
X0 0; Y0 0; Smax 10000; p 0.050000; temps moyen 0.000000 p' 1.000000
X0 1; Y0 1; Smax 100000; p 0.550000; temps moyen 834.254795 p' 0.901517
X0 1; Y0 1; Smax 100000; p 0.650000; temps moyen 1507.560518 p' 0.823301
X0 1; Y0 1; Smax 100000; p 0.750000; temps moyen 1401.563158 p' 0.657950
X0 1; Y0 1; Smax 100000; p 0.850000; temps moyen 1572.047871 p' 0.368582
X0 1; Y0 1; Smax 100000; p 0.950000; temps moyen 1318.702821 p' 0.087174
X0 1; Y0 2; Smax 100000; p 0.050000; temps moyen 52.248441 p' 0.957949
X0 1; Y0 2; Smax 100000; p 0.150000; temps moyen 63.459657 p' 0.950762
X0 1; Y0 2; Smax 100000; p 0.250000; temps moyen 81.283477 p' 0.941700
X0 1; Y0 2; Smax 100000; p 0.350000; temps moyen 115.631339 p' 0.929967
X0 1; Y0 2; Smax 100000; p 0.450000; temps moyen 286.993851 p' 0.913230
X0 1; Y0 2; Smax 100000; p 0.550000; temps moyen 1208.834032 p' 0.908080
X0 1; Y0 2; Smax 100000; p 0.650000; temps moyen 1983.035411 p' 0.802988
X0 1; Y0 2; Smax 100000; p 0.750000; temps moyen 2035.291940 p' 0.580196
X0 1; Y0 2; Smax 100000; p 0.850000; temps moyen 2283.045474 p' 0.260093
X0 1; Y0 2; Smax 100000; p 0.950000; temps moyen 1920.518710 p' 0.052857
X0 1; Y0 5; Smax 100000; p 0.050000; temps moyen 71.570166 p' 0.955329
X0 1; Y0 5; Smax 100000; p 0.150000; temps moyen 92.115051 p' 0.949722
X0 1; Y0 5; Smax 100000; p 0.250000; temps moyen 131.886976 p' 0.937859
X0 1; Y0 5; Smax 100000; p 0.350000; temps moyen 228.463401 p' 0.928153
X0 1; Y0 5; Smax 100000; p 0.450000; temps moyen 736.284306 p' 0.919212
X0 1; Y0 5; Smax 100000; p 0.550000; temps moyen 2006.992829 p' 0.900439
X0 1; Y0 5; Smax 100000; p 0.650000; temps moyen 3459.701930 p' 0.756015
X0 1; Y0 5; Smax 100000; p 0.750000; temps moyen 3638.667643 p' 0.443922
X0 1; Y0 5; Smax 100000; p 0.850000; temps moyen 4259.548023 p' 0.139663
X0 1; Y0 5; Smax 100000; p 0.950000; temps moyen 3924.696101 p' 0.021816
X0 1; Y0 10; Smax 100000; p 0.050000; temps moyen 105.411620 p' 0.953166
X0 1; Y0 10; Smax 100000; p 0.150000; temps moyen 151.705502 p' 0.947435
X0 1; Y0 10; Smax 100000; p 0.250000; temps moyen 246.515542 p' 0.935514
X0 1; Y0 10; Smax 100000; p 0.350000; temps moyen 516.585730 p' 0.929555
X0 1; Y0 10; Smax 100000; p 0.450000; temps moyen 1357.801153 p' 0.929235
X0 1; Y0 10; Smax 100000; p 0.550000; temps moyen 3268.177126 p' 0.889441
X0 1; Y0 10; Smax 100000; p 0.650000; temps moyen 5575.341512 p' 0.690656
X0 1; Y0 10; Smax 100000; p 0.750000; temps moyen 6111.728468 p' 0.322321
X0 1; Y0 10; Smax 100000; p 0.850000; temps moyen 7152.961068 p' 0.083011
X0 1; Y0 10; Smax 100000; p 0.950000; temps moyen 7304.759343 p' 0.011132
X0 2; Y0 0; Smax 100000; p 0.050000; temps moyen 4.509477 p' 0.996755
X0 2; Y0 0; Smax 100000; p 0.150000; temps moyen 13.361724 p' 0.988451
X0 2; Y0 0; Smax 100000; p 0.250000; temps moyen 26.917319 p' 0.972226
X0 2; Y0 0; Smax 100000; p 0.350000; temps moyen 54.131623 p' 0.953275
X0 2; Y0 0; Smax 100000; p 0.450000; temps moyen 146.074446 p' 0.923205
X0 2; Y0 0; Smax 100000; p 0.550000; temps moyen 886.261766 p' 0.902667
X0 2; Y0 0; Smax 100000; p 0.650000; temps moyen 1632.231733 p' 0.812581
X0 2; Y0 0; Smax 100000; p 0.750000; temps moyen 1657.035716 p' 0.620174
X0 2; Y0 0; Smax 100000; p 0.850000; temps moyen 2138.193459 p' 0.289952
X0 2; Y0 0; Smax 100000; p 0.950000; temps moyen 2191.125535 p' 0.047829
X0 2; Y0 1; Smax 100000; p 0.050000; temps moyen 49.838580 p' 0.957021
X0 2; Y0 1; Smax 100000; p 0.150000; temps moyen 60.488647 p' 0.951969
X0 2; Y0 1; Smax 100000; p 0.250000; temps moyen 74.991346 p' 0.944214
X0 2; Y0 1; Smax 100000; p 0.350000; temps moyen 111.896820 p' 0.932961
X0 2; Y0 1; Smax 100000; p 0.450000; temps moyen 285.526302 p' 0.913835
X0 2; Y0 1; Smax 100000; p 0.550000; temps moyen 1201.907081 p' 0.908249
X0 2; Y0 1; Smax 100000; p 0.650000; temps moyen 1979.464793 p' 0.804714
X0 2; Y0 1; Smax 100000; p 0.750000; temps moyen 1995.677333 p' 0.586205
X0 2; Y0 1; Smax 100000; p 0.850000; temps moyen 2200.845236 p' 0.269218
X0 2; Y0 1; Smax 100000; p 0.950000; temps moyen 1890.423732 p' 0.054240
X0 2; Y0 2; Smax 100000; p 0.050000; temps moyen 78.549673 p' 0.951986
X0 2; Y0 2; Smax 100000; p 0.150000; temps moyen 91.187584 p' 0.946335
X0 2; Y0 2; Smax 100000; p 0.250000; temps moyen 111.791447 p' 0.935917
X0 2; Y0 2; Smax 100000; p 0.350000; temps moyen 163.801559 p' 0.926790
X0 2; Y0 2; Smax 100000; p 0.450000; temps moyen 451.806294 p' 0.912723
X0 2; Y0 2; Smax 100000; p 0.550000; temps moyen 1437.556159 p' 0.901507
X0 2; Y0 2; Smax 100000; p 0.650000; temps moyen 2308.353707 p' 0.786028
X0 2; Y0 2; Smax 100000; p 0.750000; temps moyen 2303.079445 p' 0.551217
X0 2; Y0 2; Smax 100000; p 0.850000; temps moyen 2581.938939 p' 0.232308
X0 2; Y0 2; Smax 100000; p 0.950000; temps moyen 2355.112914 p' 0.045737
X0 2; Y0 5; Smax 100000; p 0.050000; temps moyen 115.259801 p' 0.950043
X0 2; Y0 5; Smax 100000; p 0.150000; temps moyen 141.473174 p' 0.942412
X0 2; Y0 5; Smax 100000; p 0.250000; temps moyen 190.039372 p' 0.933859
X0 2; Y0 5; Smax 100000; p 0.350000; temps moyen 323.877806 p' 0.924542
X0 2; Y0 5; Smax 100000; p 0.450000; temps moyen 886.228175 p' 0.924379
X0 2; Y0 5; Smax 100000; p 0.550000; temps moyen 2186.796388 p' 0.896602
X0 2; Y0 5; Smax 100000; p 0.650000; temps moyen 3615.713222 p' 0.749330
X0 2; Y0 5; Smax 100000; p 0.750000; temps moyen 3658.355971 p' 0.443798
X0 2; Y0 5; Smax 100000; p 0.850000; temps moyen 4257.934815 p' 0.141650
X0 2; Y0 5; Smax 100000; p 0.950000; temps moyen 3727.274738 p' 0.022166
X0 2; Y0 10; Smax 100000; p 0.050000; temps moyen 179.393292 p' 0.945021
X0 2; Y0 10; Smax 100000; p 0.150000; temps moyen 233.696342 p' 0.940195
X0 2; Y0 10; Smax 100000; p 0.250000; temps moyen 350.111334 p' 0.933287
X0 2; Y0 10; Smax 100000; p 0.350000; temps moyen 684.950714 p' 0.926131
X0 2; Y0 10; Smax 100000; p 0.450000; temps moyen 1556.555356 p' 0.930439
X0 2; Y0 10; Smax 100000; p 0.550000; temps moyen 3550.546451 p' 0.887379
X0 2; Y0 10; Smax 100000; p 0.650000; temps moyen 5923.875675 p' 0.681791
X0 2; Y0 10; Smax 100000; p 0.750000; temps moyen 6299.516690 p' 0.313062
X0 2; Y0 10; Smax 100000; p 0.850000; temps moyen 7277.882017 p' 0.079361
X0 2; Y0 10; Smax 100000; p 0.950000; temps moyen 6983.105277 p' 0.011345
X0 5; Y0 0; Smax 100000; p 0.050000; temps moyen 10.414246 p' 0.996088
X0 5; Y0 0; Smax 100000; p 0.150000; temps moyen 28.591899 p' 0.982926
X0 5; Y0 0; Smax 100000; p 0.250000; temps moyen 59.056403 p' 0.967749
X0 5; Y0 0; Smax 100000; p 0.350000; temps moyen 128.534455 p' 0.948340
X0 5; Y0 0; Smax 100000; p 0.450000; temps moyen 543.923556 p' 0.920533
X0 5; Y0 0; Smax 100000; p 0.550000; temps moyen 1791.150279 p' 0.900185
X0 5; Y0 0; Smax 100000; p 0.650000; temps moyen 2999.215412 p' 0.767767
X0 5; Y0 0; Smax 100000; p 0.750000; temps moyen 3319.160253 p' 0.466912
X0 5; Y0 0; Smax 100000; p 0.850000; temps moyen 4208.564213 p' 0.144006
X0 5; Y0 0; Smax 100000; p 0.950000; temps moyen 4123.006463 p' 0.019844
X0 5; Y0 1; Smax 100000; p 0.050000; temps moyen 70.499293 p' 0.954667
X0 5; Y0 1; Smax 100000; p 0.150000; temps moyen 90.209829 p' 0.950264
X0 5; Y0 1; Smax 100000; p 0.250000; temps moyen 124.444015 p' 0.941421
X0 5; Y0 1; Smax 100000; p 0.350000; temps moyen 223.133262 p' 0.931465
X0 5; Y0 1; Smax 100000; p 0.450000; temps moyen 744.516555 p' 0.919929
X0 5; Y0 1; Smax 100000; p 0.550000; temps moyen 2007.423926 p' 0.897956
X0 5; Y0 1; Smax 100000; p 0.650000; temps moyen 3418.415125 p' 0.756817
X0 5; Y0 1; Smax 100000; p 0.750000; temps moyen 3707.454177 p' 0.438760
X0 5; Y0 1; Smax 100000; p 0.850000; temps moyen 4132.817278 p' 0.143167
X0 5; Y0 1; Smax 100000; p 0.950000; temps moyen 3719.108896 p' 0.021819
X0 5; Y0 2; Smax 100000; p 0.050000; temps moyen 115.537567 p' 0.949188
X0 5; Y0 2; Smax 100000; p 0.150000; temps moyen 141.487675 p' 0.943690
X0 5; Y0 2; Smax 100000; p 0.250000; temps moyen 188.436023 p' 0.934700
X0 5; Y0 2; Smax 100000; p 0.350000; temps moyen 321.949566 p' 0.924598
X0 5; Y0 2; Smax 100000; p 0.450000; temps moyen 889.481546 p' 0.925487
X0 5; Y0 2; Smax 100000; p 0.550000; temps moyen 2247.901806 p' 0.899836
X0 5; Y0 2; Smax 100000; p 0.650000; temps moyen 3605.979152 p' 0.751958
X0 5; Y0 2; Smax 100000; p 0.750000; temps moyen 3719.166139 p' 0.438714
X0 5; Y0 2; Smax 100000; p 0.850000; temps moyen 4060.309461 p' 0.146948
X0 5; Y0 2; Smax 100000; p 0.950000; temps moyen 3703.846466 p' 0.023135
X0 5; Y0 5; Smax 100000; p 0.050000; temps moyen 217.154026 p' 0.948219
X0 5; Y0 5; Smax 100000; p 0.150000; temps moyen 264.243416 p' 0.942594
X0 5; Y0 5; Smax 100000; p 0.250000; temps moyen 355.920635 p' 0.933926
X0 5; Y0 5; Smax 100000; p 0.350000; temps moyen 620.488838 p' 0.926120
X0 5; Y0 5; Smax 100000; p 0.450000; temps moyen 1318.152544 p' 0.930109
X0 5; Y0 5; Smax 100000; p 0.550000; temps moyen 2882.902738 p' 0.893890
X0 5; Y0 5; Smax 100000; p 0.650000; temps moyen 4662.840271 p' 0.718723
X0 5; Y0 5; Smax 100000; p 0.750000; temps moyen 4722.707458 p' 0.381033
X0 5; Y0 5; Smax 100000; p 0.850000; temps moyen 4992.586090 p' 0.114657
X0 5; Y0 5; Smax 100000; p 0.950000; temps moyen 4317.397773 p' 0.018977
X0 5; Y0 10; Smax 100000; p 0.050000; temps moyen 373.160276 p' 0.946912
X0 5; Y0 10; Smax 100000; p 0.150000; temps moyen 462.157576 p' 0.943116
X0 5; Y0 10; Smax 100000; p 0.250000; temps moyen 659.319305 p' 0.932347
X0 5; Y0 10; Smax 100000; p 0.350000; temps moyen 1080.629371 p' 0.934981
X0 5; Y0 10; Smax 100000; p 0.450000; temps moyen 1986.766395 p' 0.929828
X0 5; Y0 10; Smax 100000; p 0.550000; temps moyen 4186.270527 p' 0.882564
X0 5; Y0 10; Smax 100000; p 0.650000; temps moyen 6505.483266 p' 0.665718
X0 5; Y0 10; Smax 100000; p 0.750000; temps moyen 6626.950375 p' 0.300996
X0 5; Y0 10; Smax 100000; p 0.850000; temps moyen 7093.571032 p' 0.079719
X0 5; Y0 10; Smax 100000; p 0.950000; temps moyen 6916.820935 p' 0.011758
X0 10; Y0 0; Smax 100000; p 0.050000; temps moyen 20.956756 p' 0.994222
X0 10; Y0 0; Smax 100000; p 0.150000; temps moyen 56.473664 p' 0.981457
X0 10; Y0 0; Smax 100000; p 0.250000; temps moyen 131.398767 p' 0.965622
X0 10; Y0 0; Smax 100000; p 0.350000; temps moyen 344.984125 p' 0.948982
X0 10; Y0 0; Smax 100000; p 0.450000; temps moyen 1151.570222 p' 0.931781
X0 10; Y0 0; Smax 100000; p 0.550000; temps moyen 3059.050037 p' 0.890568
X0 10; Y0 0; Smax 100000; p 0.650000; temps moyen 5339.029543 p' 0.698351
X0 10; Y0 0; Smax 100000; p 0.750000; temps moyen 6118.553202 p' 0.320644
X0 10; Y0 0; Smax 100000; p 0.850000; temps moyen 7264.022666 p' 0.079649
X0 10; Y0 0; Smax 100000; p 0.950000; temps moyen 7538.631707 p' 0.010205
X0 10; Y0 1; Smax 100000; p 0.050000; temps moyen 104.549568 p' 0.953458
X0 10; Y0 1; Smax 100000; p 0.150000; temps moyen 149.775204 p' 0.948371
X0 10; Y0 1; Smax 100000; p 0.250000; temps moyen 243.614686 p' 0.941066
X0 10; Y0 1; Smax 100000; p 0.350000; temps moyen 510.945071 p' 0.931427
X0 10; Y0 1; Smax 100000; p 0.450000; temps moyen 1355.992447 p' 0.930609
X0 10; Y0 1; Smax 100000; p 0.550000; temps moyen 3243.122865 p' 0.890323
X0 10; Y0 1; Smax 100000; p 0.650000; temps moyen 5463.895846 p' 0.695459
X0 10; Y0 1; Smax 100000; p 0.750000; temps moyen 6125.413558 p' 0.321073
X0 10; Y0 1; Smax 100000; p 0.850000; temps moyen 6987.620032 p' 0.082045
X0 10; Y0 1; Smax 100000; p 0.950000; temps moyen 7145.442106 p' 0.010950
X0 10; Y0 2; Smax 100000; p 0.050000; temps moyen 178.738091 p' 0.946377
X0 10; Y0 2; Smax 100000; p 0.150000; temps moyen 236.160810 p' 0.940951
X0 10; Y0 2; Smax 100000; p 0.250000; temps moyen 348.909660 p' 0.933532
X0 10; Y0 2; Smax 100000; p 0.350000; temps moyen 682.391003 p' 0.927101
X0 10; Y0 2; Smax 100000; p 0.450000; temps moyen 1556.864432 p' 0.931718
X0 10; Y0 2; Smax 100000; p 0.550000; temps moyen 3533.748165 p' 0.888648
X0 10; Y0 2; Smax 100000; p 0.650000; temps moyen 5944.068097 p' 0.682820
X0 10; Y0 2; Smax 100000; p 0.750000; temps moyen 6211.665814 p' 0.315071
X0 10; Y0 2; Smax 100000; p 0.850000; temps moyen 6757.150617 p' 0.084317
X0 10; Y0 2; Smax 100000; p 0.950000; temps moyen 6996.626390 p' 0.011741
X0 10; Y0 5; Smax 100000; p 0.050000; temps moyen 370.651689 p' 0.947940
X0 10; Y0 5; Smax 100000; p 0.150000; temps moyen 462.171330 p' 0.941424
X0 10; Y0 5; Smax 100000; p 0.250000; temps moyen 660.542102 p' 0.931569
X0 10; Y0 5; Smax 100000; p 0.350000; temps moyen 1084.719163 p' 0.934385
X0 10; Y0 5; Smax 100000; p 0.450000; temps moyen 1992.016850 p' 0.928619
X0 10; Y0 5; Smax 100000; p 0.550000; temps moyen 4134.606076 p' 0.883395
X0 10; Y0 5; Smax 100000; p 0.650000; temps moyen 6487.174014 p' 0.666313
X0 10; Y0 5; Smax 100000; p 0.750000; temps moyen 6497.508047 p' 0.305079
X0 10; Y0 5; Smax 100000; p 0.850000; temps moyen 6863.873395 p' 0.080646
X0 10; Y0 5; Smax 100000; p 0.950000; temps moyen 6981.340908 p' 0.011789
X0 10; Y0 10; Smax 100000; p 0.050000; temps moyen 699.573907 p' 0.947443
X0 10; Y0 10; Smax 100000; p 0.150000; temps moyen 869.286823 p' 0.941035
X0 10; Y0 10; Smax 100000; p 0.250000; temps moyen 1138.989294 p' 0.938537
X0 10; Y0 10; Smax 100000; p 0.350000; temps moyen 1674.649236 p' 0.940862
X0 10; Y0 10; Smax 100000; p 0.450000; temps moyen 2774.359689 p' 0.930621
X0 10; Y0 10; Smax 100000; p 0.550000; temps moyen 5303.254979 p' 0.872655
X0 10; Y0 10; Smax 100000; p 0.650000; temps moyen 7984.146408 p' 0.625436
X0 10; Y0 10; Smax 100000; p 0.750000; temps moyen 8114.649370 p' 0.259617
X0 10; Y0 10; Smax 100000; p 0.850000; temps moyen 8276.348816 p' 0.065934
X0 10; Y0 10; Smax 100000; p 0.950000; temps moyen 7874.701399 p' 0.009841
X0 0; Y0 0; Smax 1000000; p 0.050000; temps moyen 0.000000 p' 1.000000
X0 0; Y0 0; Smax 1000000; p 0.150000; temps moyen 0.000000 p' 1.000000
X0 0; Y0 0; Smax 1000000; p 0.250000; temps moyen 0.000000 p' 1.000000
X0 0; Y0 0; Smax 1000000; p 0.350000; temps moyen 0.000000 p' 1.000000
X0 0; Y0 0; Smax 1000000; p 0.450000; temps moyen 0.000000 p' 1.000000
X0 0; Y0 0; Smax 1000000; p 0.550000; temps moyen 0.000000 p' 1.000000
X0 0; Y0 0; Smax 1000000; p 0.650000; temps moyen 0.000000 p' 1.000000
X0 0; Y0 0; Smax 1000000; p 0.750000; temps moyen 0.000000 p' 1.000000
X0 0; Y0 0; Smax 1000000; p 0.850000; temps moyen 0.000000 p' 1.000000
X0 0; Y0 0; Smax 1000000; p 0.950000; temps moyen 0.000000 p' 1.000000
X0 0; Y0 1; Smax 1000000; p 0.050000; temps moyen 102.844650 p' 0.985215
X0 0; Y0 1; Smax 1000000; p 0.150000; temps moyen 700.966212 p' 0.960713
X0 0; Y0 1; Smax 1000000; p 0.250000; temps moyen 1211.954367 p' 0.963369
X0 0; Y0 1; Smax 1000000; p 0.350000; temps moyen 1985.404580 p' 0.953760
X0 0; Y0 1; Smax 1000000; p 0.450000; temps moyen 2595.859293 p' 0.930801
X0 0; Y0 1; Smax 1000000; p 0.550000; temps moyen 3572.007970 p' 0.900557
X0 0; Y0 1; Smax 1000000; p 0.650000; temps moyen 9767.791268 p' 0.861413
X0 0; Y0 1; Smax 1000000; p 0.750000; temps moyen 24363.978522 p' 0.708392
X0 0; Y0 1; Smax 1000000; p 0.850000; temps moyen 24621.984822 p' 0.407712
X0 0; Y0 1; Smax 1000000; p 0.950000; temps moyen 18238.069354 p' 0.115322
X0 0; Y0 2; Smax 1000000; p 0.050000; temps moyen 349.875895 p' 0.991995
X0 0; Y0 2; Smax 1000000; p 0.150000; temps moyen 922.608690 p' 0.981146
X0 0; Y0 2; Smax 1000000; p 0.250000; temps moyen 1800.140648 p' 0.962204
X0 0; Y0 2; Smax 1000000; p 0.350000; temps moyen 2353.173933 p' 0.941042
X0 0; Y0 2; Smax 1000000; p 0.450000; temps moyen 3127.491881 p' 0.910771
X0 0; Y0 2; Smax 1000000; p 0.550000; temps moyen 4109.686615 p' 0.879095
X0 0; Y0 2; Smax 1000000; p 0.650000; temps moyen 24559.756251 p' 0.823268
X0 0; Y0 2; Smax 1000000; p 0.750000; temps moyen 37170.522559 p' 0.598118
X0 0; Y0 2; Smax 1000000; p 0.850000; temps moyen 40227.461917 p' 0.252500
X0 0; Y0 2; Smax 1000000; p 0.950000; temps moyen 41551.566789 p' 0.047715
X0 0; Y0 5; Smax 1000000; p 0.050000; temps moyen 646.785366 p' 0.990238
X0 0; Y0 5; Smax 1000000; p 0.150000; temps moyen 1599.470172 p' 0.971165
X0 0; Y0 5; Smax 1000000; p 0.250000; temps moyen 2384.692374 p' 0.950680
X0 0; Y0 5; Smax 1000000; p 0.350000; temps moyen 2937.059169 p' 0.932510
X0 0; Y0 5; Smax 1000000; p 0.450000; temps moyen 3333.972609 p' 0.905700
X0 0; Y0 5; Smax 1000000; p 0.550000; temps moyen 4990.903827 p' 0.875020
X0 0; Y0 5; Smax 1000000; p 0.650000; temps moyen 37148.261838 p' 0.795173
X0 0; Y0 5; Smax 1000000; p 0.750000; temps moyen 51649.227905 p' 0.489427
X0 0; Y0 5; Smax 1000000; p 0.850000; temps moyen 69137.063147 p' 0.143307
X0 0; Y0 5; Smax 1000000; p 0.950000; temps moyen 44801.886695 p' 0.020111
X0 0; Y0 10; Smax 1000000; p 0.050000; temps moyen 989.029974 p' 0.985228
X0 0; Y0 10; Smax 1000000; p 0.150000; temps moyen 1928.319180 p' 0.965322
X0 0; Y0 10; Smax 1000000; p 0.250000; temps moyen 2864.823603 p' 0.944600
X0 0; Y0 10; Smax 1000000; p 0.350000; temps moyen 3156.044197 p' 0.926992
X0 0; Y0 10; Smax 1000000; p 0.450000; temps moyen 3770.921191 p' 0.906930
X0 0; Y0 10; Smax 1000000; p 0.550000; temps moyen 8632.593702 p' 0.879753
X0 0; Y0 10; Smax 1000000; p 0.650000; temps moyen 46834.711462 p' 0.767145
X0 0; Y0 10; Smax 1000000; p 0.750000; temps moyen 70137.383959 p' 0.409801
X0 0; Y0 10; Smax 1000000; p 0.850000; temps moyen 84072.644250 p' 0.097487
X0 0; Y0 10; Smax 1000000; p 0.950000; temps moyen 53151.493151 p' 0.010931
X0 1; Y0 0; Smax 1000000; p 0.050000; temps moyen 96.111659 p' 0.986543
X0 1; Y0 0; Smax 1000000; p 0.150000; temps moyen 707.179962 p' 0.962874
X0 1; Y0 0; Smax 1000000; p 0.250000; temps moyen 1280.282069 p' 0.966872
X0 1; Y0 0; Smax 1000000; p 0.350000; temps moyen 1942.674760 p' 0.954844
X0 1; Y0 0; Smax 1000000; p 0.450000; temps moyen 2665.600113 p' 0.931628
X0 1; Y0 0; Smax 1000000; p 0.550000; temps moyen 3576.166322 p' 0.897777
X0 1; Y0 0; Smax 1000000; p 0.650000; temps moyen 10035.951346 p' 0.859528
X0 1; Y0 0; Smax 1000000; p 0.750000; temps moyen 25314.640428 p' 0.706914
X0 1; Y0 0; Smax 1000000; p 0.850000; temps moyen 23816.106769 p' 0.411836
X0 1; Y0 0; Smax 1000000; p 0.950000; temps moyen 19124.567345 p' 0.119222
X0 1; Y0 1; Smax 1000000; p 0.050000; temps moyen 1966.982983 p' 0.956663
X0 1; Y0 1; Smax 1000000; p 0.150000; temps moyen 2251.937398 p' 0.949290
X0 1; Y0 1; Smax 1000000; p 0.250000; temps moyen 2424.931557 p' 0.941139
X0 1; Y0 1; Smax 1000000; p 0.350000; temps moyen 2878.079466 p' 0.926673
X0 1; Y0 1; Smax 1000000; p 0.450000; temps moyen 3167.610427 p' 0.907126
X0 1; Y0 1; Smax 1000000; p 0.550000; temps moyen 4251.539851 p' 0.879215
X0 1; Y0 1; Smax 1000000; p 0.650000; temps moyen 20952.209109 p' 0.829193
X0 1; Y0 1; Smax 1000000; p 0.750000; temps moyen 32300.310287 p' 0.644167
X0 1; Y0 1; Smax 1000000; p 0.850000; temps moyen 31130.451794 p' 0.338005
X0 1; Y0 1; Smax 1000000; p 0.950000; temps moyen 20145.510199 p' 0.086172
X0 1; Y0 2; Smax 1000000; p 0.050000; temps moyen 2443.525742 p' 0.948685
X0 1; Y0 2; Smax 1000000; p 0.150000; temps moyen 2652.966656 p' 0.942093
X0 1; Y0 2; Smax 1000000; p 0.250000; temps moyen 3029.533300 p' 0.931198
X0 1; Y0 2; Smax 1000000; p 0.350000; temps moyen 3138.841130 p' 0.919870
X0 1; Y0 2; Smax 1000000; p 0.450000; temps moyen 3242.395430 p' 0.905537
X0 1; Y0 2; Smax 1000000; p 0.550000; temps moyen 4009.733506 p' 0.876836
X0 1; Y0 2; Smax 1000000; p 0.650000; temps moyen 31103.151555 p' 0.813916
X0 1; Y0 2; Smax 1000000; p 0.750000; temps moyen 39422.044526 p' 0.583112
X0 1; Y0 2; Smax 1000000; p 0.850000; temps moyen 38127.737137 p' 0.259202
X0 1; Y0 2; Smax 1000000; p 0.950000; temps moyen 36213.322266 p' 0.055980
X0 1; Y0 5; Smax 1000000; p 0.050000; temps moyen 2618.874339 p' 0.945885
X0 1; Y0 5; Smax 1000000; p 0.150000; temps moyen 2940.583520 p' 0.936185
X0 1; Y0 5; Smax 1000000; p 0.250000; temps moyen 3189.519673 p' 0.927090
X0 1; Y0 5; Smax 1000000; p 0.350000; temps moyen 3419.044367 p' 0.917926
X0 1; Y0 5; Smax 1000000; p 0.450000; temps moyen 3398.111158 p' 0.903307
X0 1; Y0 5; Smax 1000000; p 0.550000; temps moyen 5498.514836 p' 0.878428
X0 1; Y0 5; Smax 1000000; p 0.650000; temps moyen 37032.407655 p' 0.790599
X0 1; Y0 5; Smax 1000000; p 0.750000; temps moyen 54239.028144 p' 0.484749
X0 1; Y0 5; Smax 1000000; p 0.850000; temps moyen 66766.785840 p' 0.156696
X0 1; Y0 5; Smax 1000000; p 0.950000; temps moyen 43695.072540 p' 0.023649
X0 1; Y0 10; Smax 1000000; p 0.050000; temps moyen 2848.743886 p' 0.940693
X0 1; Y0 10; Smax 1000000; p 0.150000; temps moyen 2994.842400 p' 0.934840
X0 1; Y0 10; Smax 1000000; p 0.250000; temps moyen 3274.243625 p' 0.923418
X0 1; Y0 10; Smax 1000000; p 0.350000; temps moyen 3515.373461 p' 0.916296
X0 1; Y0 10; Smax 1000000; p 0.450000; temps moyen 3751.269921 p' 0.900944
X0 1; Y0 10; Smax 1000000; p 0.550000; temps moyen 8959.651665 p' 0.876501
X0 1; Y0 10; Smax 1000000; p 0.650000; temps moyen 48956.356500 p' 0.763910
X0 1; Y0 10; Smax 1000000; p 0.750000; temps moyen 68816.229002 p' 0.407523
X0 1; Y0 10; Smax 1000000; p 0.850000; temps moyen 78970.765753 p' 0.100166
X0 1; Y0 10; Smax 1000000; p 0.950000; temps moyen 49567.649530 p' 0.011777
X0 2; Y0 0; Smax 1000000; p 0.050000; temps moyen 380.553531 p' 0.991374
X0 2; Y0 0; Smax 1000000; p 0.150000; temps moyen 1039.565724 p' 0.980739
X0 2; Y0 0; Smax 1000000; p 0.250000; temps moyen 1755.439308 p' 0.963223
X0 2; Y0 0; Smax 1000000; p 0.350000; temps moyen 2448.006387 p' 0.941816
X0 2; Y0 0; Smax 1000000; p 0.450000; temps moyen 2955.647176 p' 0.912337
X0 2; Y0 0; Smax 1000000; p 0.550000; temps moyen 4035.921787 p' 0.877425
X0 2; Y0 0; Smax 1000000; p 0.650000; temps moyen 24816.496005 p' 0.820999
X0 2; Y0 0; Smax 1000000; p 0.750000; temps moyen 37374.328603 p' 0.601702
X0 2; Y0 0; Smax 1000000; p 0.850000; temps moyen 38449.032709 p' 0.264323
X0 2; Y0 0; Smax 1000000; p 0.950000; temps moyen 39597.810476 p' 0.049466
X0 2; Y0 1; Smax 1000000; p 0.050000; temps moyen 2389.344262 p' 0.951198
X0 2; Y0 1; Smax 1000000; p 0.150000; temps moyen 2609.980362 p' 0.943854
X0 2; Y0 1; Smax 1000000; p 0.250000; temps moyen 2759.279985 p' 0.930713
X0 2; Y0 1; Smax 1000000; p 0.350000; temps moyen 3023.826349 p' 0.922380
X0 2; Y0 1; Smax 1000000; p 0.450000; temps moyen 3271.571817 p' 0.906081
X0 2; Y0 1; Smax 1000000; p 0.550000; temps moyen 4233.335907 p' 0.878529
X0 2; Y0 1; Smax 1000000; p 0.650000; temps moyen 31334.754588 p' 0.814691
X0 2; Y0 1; Smax 1000000; p 0.750000; temps moyen 38463.040264 p' 0.588890
X0 2; Y0 1; Smax 1000000; p 0.850000; temps moyen 37857.575942 p' 0.266660
X0 2; Y0 1; Smax 1000000; p 0.950000; temps moyen 32714.032548 p' 0.057207
X0 2; Y0 2; Smax 1000000; p 0.050000; temps moyen 3008.025287 p' 0.942822
X0 2; Y0 2; Smax 1000000; p 0.150000; temps moyen 3039.543006 p' 0.935260
X0 2; Y0 2; Smax 1000000; p 0.250000; temps moyen 3265.590512 p' 0.926986
X0 2; Y0 2; Smax 1000000; p 0.350000; temps moyen 3206.096698 p' 0.917467
